ORIGINAL ORDER,MONTH,HABITAT,PLOP,SUB,TAG,INDICADOR,FAMILY,Nombre científico,GENERO,Especie,B,F,UF,RF,D,OBS,N,DATE,YEAR,TEMPERATURE,RAIN,GENERO_limpio,Rol_Agroforestal
71833,11,Bosque de Tierra Firme,TF5,4b,986,NO,Sapotaceae,Pouteria tarapotensis (Eichler ex Pierre) Baehni,Pouteria,tarapotensis,0,0,1,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Pouteria,Estrella Comercial - Frutal
71834,11,Bosque de Tierra Firme,TF5,4b,2577,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71835,11,Bosque de Tierra Firme,TF5,4b,988,NO,Moraceae,Brosimum acutifolium subsp. obovatum (Ducke) C.C.Berg,Brosimum,acutifolium subsp. obovatum,0,0,0,0,0,desfoliado,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Brosimum,Caja Fuerte - Maderable
71837,11,Bosque de Tierra Firme,TF5,4b,990,NO,Sapotaceae,Pouteria tarapotensis (Eichler ex Pierre) Baehni,Pouteria,tarapotensis,0,0,3,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Pouteria,Estrella Comercial - Frutal
71841,11,Bosque de Tierra Firme,TF5,4b,994,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71848,11,Bosque de Tierra Firme,TF5,5a,994A,NO,Apocynaceae,Aspidosperma rigidum Rusby,Aspidosperma,rigidum,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Aspidosperma,Caja Fuerte - Maderable
71851,11,Bosque de Tierra Firme,TF5,5b,998,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Swartzia,Ingeniero del Suelo - Fijador N
71854,11,Bosque de Tierra Firme,TF5,5b,958A,NO,Apocynaceae,Aspidosperma vargasii A.DC.,Aspidosperma,vargasii,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Aspidosperma,Caja Fuerte - Maderable
72850,12,Bosque de Tierra Firme,TF1,1a,501,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,0,0,0,,0,2016-12-16,2016,,,Swartzia,Ingeniero del Suelo - Fijador N
72853,12,Bosque de Tierra Firme,TF1,1a,504,NO,Fabaceae,Swartzia tomentifera (Ducke) Ducke,Swartzia,tomentifera,0,0,0,0,0,,0,2016-12-16,2016,,,Swartzia,Ingeniero del Suelo - Fijador N
72855,12,Bosque de Tierra Firme,TF1,1a,506,NO,Apocynaceae,Aspidosperma nitidum Benth. ex Müll.Arg.,Aspidosperma,nitidum,0,0,0,0,0,,0,2016-12-16,2016,,,Aspidosperma,Caja Fuerte - Maderable
72861,12,Bosque de Tierra Firme,TF1,1b,512,NO,Sapotaceae,Pouteria procera (Mart.) K.Hammer,Pouteria,procera,0,0,0,0,0,,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72862,12,Bosque de Tierra Firme,TF1,1b,513,NO,Euphorbiaceae,Croton sp.,Croton,sp,0,0,0,0,0,muerto,0,2016-12-16,2016,,,Croton,Estrella Comercial - Industrial
72877,12,Bosque de Tierra Firme,TF1,2b,528,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,desfoliado,0,2016-12-16,2016,,,Erythrina,Ingeniero del Suelo - Fijador N
72878,12,Bosque de Tierra Firme,TF1,2b,529,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,desfoliado,0,2016-12-16,2016,,,Erythrina,Ingeniero del Suelo - Fijador N
72895,12,Bosque de Tierra Firme,TF1,3b,547,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2016-12-16,2016,,,Erythrina,Ingeniero del Suelo - Fijador N
72905,12,Bosque de Tierra Firme,TF1,4b,559,NO,Sapotaceae,Pouteria pariry (Ducke) Baehni,Pouteria,pariry,0,0,0,0,0,desfoliado,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72908,12,Bosque de Tierra Firme,TF1,5a,564,NO,Fabaceae,Hymenaea courbaril L.,Hymenaea,courbaril,0,0,3,0,0,,1,2016-12-16,2016,,,Hymenaea,Estrella Comercial - Frutal
72924,12,Bosque de Tierra Firme,TF1,6a,580,NO,Sapotaceae,Pouteria sp. 3,Pouteria,sp,0,0,0,0,0,liana,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72925,12,Bosque de Tierra Firme,TF1,6a,581,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,0,0,0,,0,2016-12-16,2016,,,Swartzia,Ingeniero del Suelo - Fijador N
72928,12,Bosque de Tierra Firme,TF1,6b,589,NO,Fabaceae,Hymenaea courbaril L.,Hymenaea,courbaril,3,0,0,0,0,frutos secos,1,2016-12-16,2016,,,Hymenaea,Estrella Comercial - Frutal
72945,12,Bosque de Tierra Firme,TF2,1b,614,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2016-12-16,2016,,,Copaifera,Estrella Comercial - Industrial
72948,12,Bosque de Tierra Firme,TF2,1b,617,NO,Sapotaceae,Pouteria sp. 2,Pouteria,sp,0,0,0,0,0,,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72954,12,Bosque de Tierra Firme,TF2,1b,624,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-16,2016,,,Hevea,Estrella Comercial - Industrial
72959,12,Bosque de Tierra Firme,TF2,2a,629,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-16,2016,,,Hevea,Estrella Comercial - Industrial
72966,12,Bosque de Tierra Firme,TF2,2b,638,NO,Moraceae,Brosimum rubescens Taub.,Brosimum,rubescens,0,0,0,0,0,,0,2016-12-16,2016,,,Brosimum,Caja Fuerte - Maderable
72972,12,Bosque de Tierra Firme,TF2,3a,648,NO,Sapotaceae,Pouteria torta (Mart.) Radlk.,Pouteria,torta,0,0,0,0,0,,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72977,12,Bosque de Tierra Firme,TF2,3b,654,NO,Fabaceae,Inga sapindoides Willd.,Inga,sapindoides,0,0,0,0,0,,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
72982,12,Bosque de Tierra Firme,TF2,4a,661,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-16,2016,,,Hevea,Estrella Comercial - Industrial
72985,12,Bosque de Tierra Firme,TF2,4a,664,NO,Sapotaceae,Pouteria sp. 3,Pouteria,sp,0,0,0,0,0,,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
72989,12,Bosque de Tierra Firme,TF2,4a,669,NO,Fabaceae,Tachigali vasquezii Pipoly,Tachigali,vasquezii,0,0,0,0,0,,0,2016-12-16,2016,,,Tachigali,Ingeniero del Suelo - Fijador N
72999,12,Bosque de Tierra Firme,TF2,4b,681,NO,Malvaceae,Theobroma speciosum Willd. ex Spreng.,Theobroma,speciosum,0,0,0,0,0,muerto,0,2016-12-16,2016,,,Theobroma,Estrella Comercial - Frutal
73014,12,Bosque de Tierra Firme,TF2,5a,698,NO,Meliaceae,Cedrela fissilis Vell.,Cedrela,fissilis,0,0,0,0,0,hojas nuevas,0,2016-12-16,2016,,,Cedrela,Caja Fuerte - Maderable
73052,12,Bosque de Tierra Firme,TF3,2b,746,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-17,2016,,,Hevea,Estrella Comercial - Industrial
73055,12,Bosque de Tierra Firme,TF3,2b,749,NO,Fabaceae,Cedrelinga catenaeformis (Ducke) Ducke,Cedrelinga,catenaeformis,0,0,0,0,0,,0,2016-12-17,2016,,,Cedrelinga,Caja Fuerte - Maderable / Fijador N
73058,12,Bosque de Tierra Firme,TF3,3a,756,NO,Fabaceae,Inga alba (Sw.) Willd.,Inga,alba,0,0,0,0,0,,0,2016-12-17,2016,,,Inga,Ingeniero del Suelo - Fijador N
73065,12,Bosque de Tierra Firme,TF3,4a,765,NO,Apocynaceae,Aspidosperma vargasii A.DC.,Aspidosperma,vargasii,0,0,0,0,0,,0,2016-12-17,2016,,,Aspidosperma,Caja Fuerte - Maderable
73074,12,Bosque de Tierra Firme,TF3,4b,777,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-17,2016,,,Hevea,Estrella Comercial - Industrial
73080,12,Bosque de Tierra Firme,TF3,5a,785,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2016-12-17,2016,,,Copaifera,Estrella Comercial - Industrial
73084,12,Bosque de Tierra Firme,TF3,5a,790,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,1,1,0,,1,2016-12-17,2016,,,Hevea,Estrella Comercial - Industrial
73089,12,Bosque de Tierra Firme,TF3,5b,796,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2016-12-17,2016,,,Copaifera,Estrella Comercial - Industrial
73097,12,Bosque de Tierra Firme,TF4,1a,807,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-17,2016,,,Hevea,Estrella Comercial - Industrial
73101,12,Bosque de Tierra Firme,TF4,1a,811,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2016-12-17,2016,,,Hevea,Estrella Comercial - Industrial
73107,12,Bosque de Tierra Firme,TF4,1b,817,NO,Sapotaceae,Pouteria pariry (Ducke) Baehni,Pouteria,pariry,0,0,0,0,0,liana,0,2016-12-17,2016,,,Pouteria,Estrella Comercial - Frutal
73110,12,Bosque de Tierra Firme,TF4,1b,820,NO,Olacaceae,Aptandra tubicina (Poepp.) Benth. ex Miers,Aptandra,tubicina,0,0,0,0,0,,0,2016-12-17,2016,,,Aptandra,Ingeniero del Suelo - Pionera
73130,12,Bosque de Tierra Firme,TF4,2a,840,NO,Fabaceae,Inga stipularis DC.,Inga,stipularis,0,0,0,0,0,,0,2016-12-17,2016,,,Inga,Ingeniero del Suelo - Fijador N
73152,12,Bosque de Tierra Firme,TF4,3a,867,NO,Fabaceae,Inga punctata Willd.,Inga,punctata,0,0,0,0,0,,0,2016-12-17,2016,,,Inga,Ingeniero del Suelo - Fijador N
73160,12,Bosque de Tierra Firme,TF4,3a,876,NO,Bignonaceae,Jacaranda copaia (Aubl.) D.Don,Jacaranda,copaia,0,0,0,0,0,,0,2016-12-17,2016,,,Jacaranda,Ingeniero del Suelo - Pionera
73167,12,Bosque de Tierra Firme,TF4,3b,884,NO,Apocynaceae,Aspidosperma nitidum Benth. ex Müll.Arg.,Aspidosperma,nitidum,0,0,0,0,0,,0,2016-12-17,2016,,,Aspidosperma,Caja Fuerte - Maderable
73174,12,Bosque de Tierra Firme,TF4,3b,891,NO,Sapotaceae,Pouteria tarapotensis (Eichler ex Pierre) Baehni,Pouteria,tarapotensis,0,0,0,0,0,,0,2016-12-17,2016,,,Pouteria,Estrella Comercial - Frutal
73187,12,Bosque de Tierra Firme,TF5,1a,903,NO,Sapotaceae,Pouteria procera (Mart.) K.Hammer,Pouteria,procera,0,0,3,1,0,,1,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
73193,12,Bosque de Tierra Firme,TF5,1a,911,NO,Fabaceae,Inga auristellae Harms,Inga,auristellae,0,0,0,0,0,,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
73197,12,Bosque de Tierra Firme,TF5,1b,915,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
73200,12,Bosque de Tierra Firme,TF5,1b,918,NO,Fabaceae,Inga cordistipula Mart.,Inga,cordistipula,0,0,0,0,0,,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
73205,12,Bosque de Tierra Firme,TF5,2a,923,NO,Malvaceae,Theobroma speciosum Willd. ex Spreng.,Theobroma,speciosum,0,0,1,0,0,,1,2016-12-16,2016,,,Theobroma,Estrella Comercial - Frutal
73212,12,Bosque de Tierra Firme,TF5,2a,930,NO,Apocynaceae,Aspidosperma rigidum Rusby,Aspidosperma,rigidum,3,0,0,0,0,,1,2016-12-16,2016,,,Aspidosperma,Caja Fuerte - Maderable
73213,12,Bosque de Tierra Firme,TF5,2b,934,NO,Fabaceae,Dipteryx micrantha Harms,Dipteryx,micrantha,0,0,0,0,0,,0,2016-12-16,2016,,,Dipteryx,Estrella Comercial - Industrial
73220,12,Bosque de Tierra Firme,TF5,3a,942,NO,Fabaceae,Inga edulis Mart.,Inga,edulis,0,0,0,0,0,muerto,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
73224,12,Bosque de Tierra Firme,TF5,3a,946,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,muerto,0,2016-12-16,2016,,,Inga,Ingeniero del Suelo - Fijador N
73235,12,Bosque de Tierra Firme,TF5,3b,2632,NO,Arecaceae,Bactris gasipaes Kunth,Bactris,gasipaes,0,0,0,0,0,,0,2016-12-16,2016,,,Bactris,Estrella Comercial - Frutal
73238,12,Bosque de Tierra Firme,TF5,4a,965,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2016-12-16,2016,,,Copaifera,Estrella Comercial - Industrial
73241,12,Bosque de Tierra Firme,TF5,4a,968,NO,Sapotaceae,Pouteria sp. 3,Pouteria,sp,4,2,0,0,0,,1,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
73243,12,Bosque de Tierra Firme,TF5,4a,970,NO,Sapotaceae,Pouteria procera (Mart.) K.Hammer,Pouteria,procera,0,0,0,0,0,,0,2016-12-16,2016,,,Pouteria,Estrella Comercial - Frutal
73246,12,Bosque de Tierra Firme,TF5,4a,973,NO,Urticaceae,Cecropia sp. 1,Cecropia,sp,0,0,0,0,0,,0,2016-12-16,2016,,,Cecropia,Ingeniero del Suelo - Pionera
